measurement_type,target_id,experiment_id,measurement,error_scale
mic,5mthf_c,dataset1,5.79e-06,0.1
mic,ahcys_c,dataset1,2.16e-07,0.1
mic,amet_c,dataset1,5.94e-05,0.1
mic,hcys-L_c,dataset1,3.52e-06,0.1
mic,met-L_c,dataset1,4.33e-05,0.1
mic,5mthf_c,dataset10,5.22e-06,0.1
mic,ahcys_c,dataset10,2.68e-07,0.1
mic,amet_c,dataset10,0.000108,0.1
mic,hcys-L_c,dataset10,4.86e-06,0.1
mic,met-L_c,dataset10,4.07e-05,0.1
mic,5mthf_c,dataset11,3.55e-06,0.1
mic,ahcys_c,dataset11,2.13e-07,0.1
mic,amet_c,dataset11,0.000222,0.1
mic,hcys-L_c,dataset11,4.21e-06,0.1
mic,met-L_c,dataset11,4.07e-05,0.1
mic,5mthf_c,dataset12,5.72e-06,0.1
mic,ahcys_c,dataset12,2.69e-07,0.1
mic,amet_c,dataset12,0.000109,0.1
mic,hcys-L_c,dataset12,5.65e-06,0.1
mic,met-L_c,dataset12,4.39e-05,0.1
mic,5mthf_c,dataset2,3.33e-06,0.1
mic,ahcys_c,dataset2,3.69e-07,0.1
mic,amet_c,dataset2,0.000263,0.1
mic,hcys-L_c,dataset2,6.37e-06,0.1
mic,met-L_c,dataset2,6.3e-05,0.1
mic,5mthf_c,dataset3,1.02e-05,0.1
mic,ahcys_c,dataset3,1.81e-07,0.1
mic,amet_c,dataset3,1.63e-05,0.1
mic,hcys-L_c,dataset3,4.24e-06,0.1
mic,met-L_c,dataset3,2.71e-05,0.1
mic,5mthf_c,dataset4,1.19e-06,0.1
mic,ahcys_c,dataset4,2.3e-07,0.1
mic,amet_c,dataset4,0.000103,0.1
mic,hcys-L_c,dataset4,4.12e-06,0.1
mic,met-L_c,dataset4,4.34e-05,0.1
mic,5mthf_c,dataset5,2.47e-06,0.1
mic,ahcys_c,dataset5,2.07e-07,0.1
mic,amet_c,dataset5,5.68e-05,0.1
mic,hcys-L_c,dataset5,3.82e-06,0.1
mic,met-L_c,dataset5,3.96e-05,0.1
mic,5mthf_c,dataset6,4.26e-06,0.1
mic,ahcys_c,dataset6,1.39e-07,0.1
mic,amet_c,dataset6,9.2e-05,0.1
mic,hcys-L_c,dataset6,4.17e-06,0.1
mic,met-L_c,dataset6,4.27e-05,0.1
mic,5mthf_c,dataset7,5.03e-06,0.1
mic,ahcys_c,dataset7,2.37e-07,0.1
mic,amet_c,dataset7,5.12e-05,0.1
mic,hcys-L_c,dataset7,4.3e-06,0.1
mic,met-L_c,dataset7,3.59e-05,0.1
mic,5mthf_c,dataset8,4.29e-06,0.1
mic,ahcys_c,dataset8,1.98e-07,0.1
mic,amet_c,dataset8,4.25e-05,0.1
mic,hcys-L_c,dataset8,4.53e-06,0.1
mic,met-L_c,dataset8,5.3e-05,0.1
mic,5mthf_c,dataset9,5.68e-06,0.1
